unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,TOTAL_HH,W10,BE	8015006 	9478368 	5624971 	9204652 	6726976 	6836959 	7411017 
T,HAZ_NHAZ,TOTAL_HH,W10,BG	3966921 	4224999 	3900681 	3249370 	3599562 	3223979 	3919171 
T,HAZ_NHAZ,TOTAL_HH,W10,CY	422919 	351754 	245667 	264199 	476047 	447319 	502062 
T,HAZ_NHAZ,TOTAL_HH,W10,CZ	3616556 	3704045 	3686451 	3892963 	3800249 	3706252 	3865528 
T,HAZ_NHAZ,TOTAL_HH,W10,DE	43131262 	36617603 	38521077 	42208067 	44347058 	45318230 	46229421 
T,HAZ_NHAZ,TOTAL_HH,W10,DK	4023250 	4220878 	4110773 	4256567 	3890627 	3443331 	3283781 
T,HAZ_NHAZ,TOTAL_HH,W10,EE	1234372 	702208 	531195 	392797 	518836 	484602 	594917 
T,HAZ_NHAZ,TOTAL_HH,W10,EL	5074791 	5262410 	5159916 	5922904 	5547016 	7495065 	5483633 
T,HAZ_NHAZ,TOTAL_HH,W10,ES	25418097 	25365580 	25291422 	29267611 	29110389 	32327292 	34906593 
T,HAZ_NHAZ,TOTAL_HH,W10,EU27_2020	228650000 	229170000 	226440000 	245560000 	238440000 	248650000 	258800000 
T,HAZ_NHAZ,TOTAL_HH,W10,EU28	314460000 	289100000 	282150000 	286780000 	279250000 	291190000 	307010000 
T,HAZ_NHAZ,TOTAL_HH,W10,FI	2211959 	2892765 	2425966 	4597857 	2880005 	2894362 	3069975 
T,HAZ_NHAZ,TOTAL_HH,W10,FR	43613160 	41666160 	40700490 	40629454 	38097587 	33878044 	34298589 
T,HAZ_NHAZ,TOTAL_HH,W10,HR	1569138 	1387475 	1729292 	1782680 	1483605 	1491070 	1504785 
T,HAZ_NHAZ,TOTAL_HH,W10,HU	5062716 	4482591 	3857256 	3733912 	3504999 	4412073 	4079772 
T,HAZ_NHAZ,TOTAL_HH,W10,IE	701288 	721993 	280805 	4232614 	3226204 	3674107 	3462321 
T,HAZ_NHAZ,TOTAL_HH,W10,IS	264825 	: 	305889 	259118 	259384 	136987 	168090 
T,HAZ_NHAZ,TOTAL_HH,W10,IT	34897203 	36355619 	40749308 	37777861 	37479357 	39005266 	39189651 
T,HAZ_NHAZ,TOTAL_HH,W10,LI	: 	: 	9599 	10257 	8939 	12400 	12962 
T,HAZ_NHAZ,TOTAL_HH,W10,LT	1264746 	1300004 	1279547 	1182221 	1286865 	1369783 	1683067 
T,HAZ_NHAZ,TOTAL_HH,W10,LU	240026 	225342 	229596 	342599 	274333 	255433 	308151 
T,HAZ_NHAZ,TOTAL_HH,W10,LV	624172 	974645 	758438 	579772 	1044414 	1400008 	1345837 
T,HAZ_NHAZ,TOTAL_HH,W10,ME	: 	: 	: 	: 	4676 	260507 	272488 
T,HAZ_NHAZ,TOTAL_HH,W10,MK	: 	: 	10211 	463474 	28154 	14961 	41459 
T,HAZ_NHAZ,TOTAL_HH,W10,MT	262501 	271777 	274157 	237302 	261899 	266406 	329256 
T,HAZ_NHAZ,TOTAL_HH,W10,NL	11115088 	11737954 	10907814 	10673487 	9470603 	9824030 	9673535 
T,HAZ_NHAZ,TOTAL_HH,W10,NO	1607366 	2593697 	2669354 	2382523 	3224421 	2947258 	3053615 
